id,posture_key,posture_ko,equipment_en,equipment_ko,exercise_en,exercise_ko,purpose,how_to_do,sets_reps,key_cues,precaution
399,Scapular Winging,견갑 이개,Cadillac,캐딜락,Plank - Advanced (Isometric 5s),브릿지 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 Isometric 5s.",3세트 x 12회,"호흡과 함께 부드럽게, 견갑 하강 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
400,Trunk Lateral Shift,체간 편위,Cadillac,캐딜락,Footwork - Basic (2-2),플랭크 - Basic (2-2),자세 교정과 정렬 회복,"① 시작자세: 캐딜락 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 2-2.",3세트 x 20회,"좌우 균형 유지, 복부 30% 수축, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
401,Forward Head Posture,거북목,Reformer,리포머,Roll Up - Basic (2-2),사이드킥 - Basic (2-2),가동성과 근력의 균형 향상,"① 시작자세: 리포머 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 2-2.",4세트 x 10회,"복부 30% 수축, 견갑 하강 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
402,Genu Valgum,X자 무릎,Cadillac,캐딜락,Swan - Basic (1-3),롤업 - Basic (1-3),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 1-3.",3세트 x 15회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
403,Anterior Pelvic Tilt,골반 과전방경사,Reformer,리포머,Clamshell - Advanced (Isometric 5s),데드버그 - Advanced (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 리포머 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 Isometric 5s.",3세트 x 12회,"갈비뼈 플레어 금지, 골반 중립 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
404,Genu Varum,O자 무릎,Ladder Barrel,래더 배럴,Hundred - Advanced (2-2),사이드킥 - Advanced (2-2),코어 중심의 자세 안정성 향상,"① 시작자세: 래더 배럴 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 2-2.",4세트 x 20회,"좌우 균형 유지, 호흡과 함께 부드럽게, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
405,Shoulder Elevation,어깨 상승,Reformer,리포머,Side Kick - Intermediate (3-1),브릿지 - Intermediate (3-1),자세 교정과 정렬 회복,"① 시작자세: 리포머 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 3-1.",2세트 x 20회,"복부 30% 수축, 호흡과 함께 부드럽게, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
406,Posterior Pelvic Tilt,골반 후방경사,Cadillac,캐딜락,Bridge - Intermediate (2-2),스완 - Intermediate (2-2),자세 교정과 정렬 회복,"① 시작자세: 캐딜락 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 2-2.",3세트 x 20회,"갈비뼈 플레어 금지, 호흡과 함께 부드럽게, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
407,Trunk Forward Inclination,체간 전방기울기,Reformer,리포머,Bridge - Advanced (3-1),플랭크 - Advanced (3-1),자세 교정과 정렬 회복,"① 시작자세: 리포머 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 3-1.",3세트 x 10회,"견갑 하강 유지, 갈비뼈 플레어 금지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
408,Genu Varum,O자 무릎,Cadillac,캐딜락,Hundred - Intermediate (Isometric 5s),플랭크 - Intermediate (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 캐딜락 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 10회, 템포 Isometric 5s.",2세트 x 10회,"골반 중립 유지, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
409,Scapular Winging,견갑 이개,Chair,체어,Bridge - Basic (Isometric 5s),클램쉘 - Basic (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 체어 위에서 클램쉘 준비 자세로 선다.
② 수행: 호흡을 내쉬며 클램쉘 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 Isometric 5s.",4세트 x 12회,"견갑 하강 유지, 골반 중립 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
410,Rounded Shoulder,라운드 숄더,Mat,매트,Bridge - Basic (Pulse x10),헌드레드 - Basic (Pulse x10),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 매트 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 Pulse x10.",2세트 x 12회,"좌우 균형 유지, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
411,Forward Head Posture,거북목,Cadillac,캐딜락,Plank - Basic (2-2),브릿지 - Basic (2-2),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 2-2.",4세트 x 15회,"복부 30% 수축, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
412,Flat Back,편평등,Spine Corrector,스파인 코렉터,Plank - Basic (1-3),사이드킥 - Basic (1-3),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 스파인 코렉터 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 1-3.",3세트 x 15회,"복부 30% 수축, 호흡과 함께 부드럽게, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
413,Trunk Forward Inclination,체간 전방기울기,Spine Corrector,스파인 코렉터,Side Kick - Advanced (3-1),스완 - Advanced (3-1),가동성과 근력의 균형 향상,"① 시작자세: 스파인 코렉터 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 3-1.",4세트 x 10회,"복부 30% 수축, 갈비뼈 플레어 금지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
414,Shoulder Elevation,어깨 상승,Spine Corrector,스파인 코렉터,Side Kick - Basic (Pulse x10),티저 - Basic (Pulse x10),자세 교정과 정렬 회복,"① 시작자세: 스파인 코렉터 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 Pulse x10.",4세트 x 20회,"복부 30% 수축, 견갑 하강 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
415,Foot Supination,과도한 회외,Chair,체어,Footwork - Basic (3-1),롤업 - Basic (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 체어 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 3-1.",2세트 x 20회,"견갑 하강 유지, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
416,Foot Supination,과도한 회외,Mat,매트,Plank - Intermediate (3-1),롤업 - Intermediate (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 매트 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 3-1.",4세트 x 10회,"견갑 하강 유지, 골반 중립 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
417,Flat Back,편평등,Spine Corrector,스파인 코렉터,Swan - Advanced (2-2),플랭크 - Advanced (2-2),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 스파인 코렉터 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 2-2.",2세트 x 12회,"복부 30% 수축, 견갑 하강 유지, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
418,Rounded Shoulder,라운드 숄더,Reformer,리포머,Swan - Basic (3-1),플랭크 - Basic (3-1),자세 교정과 정렬 회복,"① 시작자세: 리포머 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 3-1.",4세트 x 15회,"좌우 균형 유지, 견갑 하강 유지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
419,Shoulder Elevation,어깨 상승,Spine Corrector,스파인 코렉터,Swan - Advanced (2-2),클램쉘 - Advanced (2-2),자세 교정과 정렬 회복,"① 시작자세: 스파인 코렉터 위에서 클램쉘 준비 자세로 선다.
② 수행: 호흡을 내쉬며 클램쉘 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 2-2.",2세트 x 20회,"견갑 하강 유지, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
420,Genu Valgum,X자 무릎,Cadillac,캐딜락,Plank - Advanced (Isometric 5s),클램쉘 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 클램쉘 준비 자세로 선다.
② 수행: 호흡을 내쉬며 클램쉘 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 Isometric 5s.",3세트 x 20회,"호흡과 함께 부드럽게, 좌우 균형 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
421,Genu Valgum,X자 무릎,Ladder Barrel,래더 배럴,Clamshell - Basic (3-1),데드버그 - Basic (3-1),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 래더 배럴 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 3-1.",3세트 x 10회,"견갑 하강 유지, 호흡과 함께 부드럽게, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
422,Genu Varum,O자 무릎,Reformer,리포머,Footwork - Intermediate (Isometric 5s),풋워크 - Intermediate (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 리포머 위에서 풋워크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 풋워크 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 Isometric 5s.",3세트 x 20회,"갈비뼈 플레어 금지, 견갑 하강 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
423,Shoulder Elevation,어깨 상승,Chair,체어,Footwork - Basic (3-1),스완 - Basic (3-1),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 체어 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 3-1.",4세트 x 12회,"견갑 하강 유지, 좌우 균형 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
424,Hyperkyphosis,흉추 과후만,Mat,매트,Side Kick - Advanced (2-2),티저 - Advanced (2-2),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 매트 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 2-2.",2세트 x 20회,"호흡과 함께 부드럽게, 복부 30% 수축, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
425,Anterior Pelvic Tilt,골반 과전방경사,Chair,체어,Side Kick - Basic (3-1),사이드킥 - Basic (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 체어 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 3-1.",4세트 x 15회,"좌우 균형 유지, 골반 중립 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
426,Shoulder Elevation,어깨 상승,Ladder Barrel,래더 배럴,Swan - Advanced (2-2),사이드킥 - Advanced (2-2),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 2-2.",4세트 x 10회,"좌우 균형 유지, 복부 30% 수축, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
427,Pelvic Obliquity,골반 비틀림,Ladder Barrel,래더 배럴,Clamshell - Advanced (2-2),사이드킥 - Advanced (2-2),코어 중심의 자세 안정성 향상,"① 시작자세: 래더 배럴 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 2-2.",4세트 x 15회,"복부 30% 수축, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
428,Trunk Lateral Shift,체간 편위,Mat,매트,Hundred - Basic (Isometric 5s),데드버그 - Basic (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 매트 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 Isometric 5s.",2세트 x 20회,"갈비뼈 플레어 금지, 호흡과 함께 부드럽게, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
429,Hyperkyphosis,흉추 과후만,Mat,매트,Footwork - Basic (Pulse x10),롤업 - Basic (Pulse x10),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 매트 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 Pulse x10.",4세트 x 10회,"견갑 하강 유지, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
430,Posterior Pelvic Tilt,골반 후방경사,Ladder Barrel,래더 배럴,Footwork - Basic (3-1),브릿지 - Basic (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 래더 배럴 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 3-1.",3세트 x 20회,"좌우 균형 유지, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
431,Flat Back,편평등,Reformer,리포머,Plank - Basic (1-3),스완 - Basic (1-3),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 리포머 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 1-3.",4세트 x 12회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
432,Trunk Lateral Shift,체간 편위,Spine Corrector,스파인 코렉터,Bridge - Basic (Pulse x10),티저 - Basic (Pulse x10),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 스파인 코렉터 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 Pulse x10.",4세트 x 12회,"갈비뼈 플레어 금지, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
433,Shoulder Elevation,어깨 상승,Chair,체어,Side Kick - Advanced (2-2),브릿지 - Advanced (2-2),자세 교정과 정렬 회복,"① 시작자세: 체어 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 2-2.",2세트 x 12회,"복부 30% 수축, 호흡과 함께 부드럽게, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
434,Forward Head Posture,거북목,Cadillac,캐딜락,Teaser - Advanced (Isometric 5s),스완 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 Isometric 5s.",2세트 x 12회,"골반 중립 유지, 호흡과 함께 부드럽게, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
435,Posterior Pelvic Tilt,골반 후방경사,Spine Corrector,스파인 코렉터,Clamshell - Advanced (3-1),데드버그 - Advanced (3-1),가동성과 근력의 균형 향상,"① 시작자세: 스파인 코렉터 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 3-1.",4세트 x 20회,"골반 중립 유지, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
436,Trunk Forward Inclination,체간 전방기울기,Spine Corrector,스파인 코렉터,Plank - Intermediate (Isometric 5s),데드버그 - Intermediate (Isometric 5s),코어 중심의 자세 안정성 향상,"① 시작자세: 스파인 코렉터 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 Isometric 5s.",4세트 x 12회,"갈비뼈 플레어 금지, 복부 30% 수축, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
437,Forward Head Posture,거북목,Cadillac,캐딜락,Dead Bug - Intermediate (3-1),데드버그 - Intermediate (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 캐딜락 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 3-1.",4세트 x 10회,"갈비뼈 플레어 금지, 좌우 균형 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
438,Anterior Pelvic Tilt,골반 과전방경사,Chair,체어,Plank - Advanced (1-3),스완 - Advanced (1-3),코어 중심의 자세 안정성 향상,"① 시작자세: 체어 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 1-3.",3세트 x 15회,"좌우 균형 유지, 호흡과 함께 부드럽게, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
439,Pelvic Obliquity,골반 비틀림,Mat,매트,Hundred - Advanced (Pulse x10),데드버그 - Advanced (Pulse x10),코어 중심의 자세 안정성 향상,"① 시작자세: 매트 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 Pulse x10.",4세트 x 20회,"갈비뼈 플레어 금지, 견갑 하강 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
440,Forward Head Posture,거북목,Ladder Barrel,래더 배럴,Dead Bug - Advanced (Isometric 5s),데드버그 - Advanced (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 래더 배럴 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 Isometric 5s.",4세트 x 20회,"호흡과 함께 부드럽게, 좌우 균형 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
441,Hyperlordosis,요추 과전만,Ladder Barrel,래더 배럴,Roll Up - Basic (Isometric 5s),데드버그 - Basic (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 Isometric 5s.",4세트 x 12회,"좌우 균형 유지, 골반 중립 유지, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
442,Forward Head Posture,거북목,Cadillac,캐딜락,Bridge - Basic (3-1),티저 - Basic (3-1),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 캐딜락 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 3-1.",4세트 x 12회,"좌우 균형 유지, 갈비뼈 플레어 금지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
